,댓글 작성자,댓글,좋아요 개수,하트 유/무
1,미노Cc,독도는 한국 영토입니다. Dokdo is Korean territory. 独島は韓国の領土です。 独岛是韩国的领土。,3.8만,없음
2,잼미니,지들이 독도 일본땅 이라면서 독도가 어디있는지 모르는게 더 레전드ㅋㅋㅋㅋㅋㅋㅋㅋ,4.1천,없음
3,이름없음,김구라가 일본어 할 줄 알았어봐 진심 개막장 싸움 남,3.5천,없음
4,mr punitgour,뱤@캬@라!퓰!뱅 ㄷㄷ 직장인들 주시 비코로 지금 다 죽을라고하는데 나만 이거 알아서 살려줬네,1천,없음
5,구란데,어딨는지도 모르면서 자기네들 땅이라고 주장하는 거 넘 재밌고,5.2천,없음
6,meer udu,나라에서는 해주는것도 없고 자영업자인데 해당도 안되는와중에 뱤@캬라@퓰@뱅 알고나서 아빠노릇합니다..ㅋ,921,없음
7,몰?루,"일본은 왜 한국인들한테 급발진함? 한국은 지나가는 일본인 잡아다가 ""꺼져!!!!!독도한국땅이야!!!""이지랄 안함  +물론 우리나라의 몇몇무개념인 사람들은 저렇게 할 수 있음 그치만 우리는 저렇게 모여서 다 큰 어른들이 그러지는 않음",5.4천,없음
8,yunseok kim,한국에서 가장 건들면 안 되는 발언 탑3:동양인 비하 탑2:독도 탑1:부모님 안부,2.5천,없음
9,찬쓰,일본사람들의 저런 말듣고  안때린 한국인들이 진짜 대단하다...,1.8천,없음
10,Babar B.S,"요즘 뱤 캬라 퓰뱅 이라고 주식,코인보다 좋음 ㅋㅋ 돈벌기 좋누",621,없음
11,kang kang,김구라 진심 빡쳤다가 점점 빡치기도 귀찮아진게 킬포임ㅋㅋㅋㅋㅋㅋ,877,없음
12,UNiQUE GAMiNG YT,그냥 네이-버에 쳐도 뱤-캬라퓰-뱅  주소 알 수 있음 믿고 ㄱㄱ,184,없음
13,̇Ⱉ ̇,독도가 일본땅이라고 말하는거조차 심각하지만 처음보는 사람에게 저렇게 함부로 대하는게 진짜 심각하다. 예의가 정말없다.,4.1천,없음
14,꾸병장,아.. 진짜.. 김구라 대단... 저 성질에 말 알아들었으면 개쌈났을듯,433,없음
15,노성욱,부끄러움 이라는걸 모르는 나라. 역사교육의 중요성을 깨우쳐 주는 나라.,875,없음
16,뱁새 맞음 어쨋든 뱁새 맞음,이 영상을 전세계 사람들이 보길 기원합니다,98,없음
17,kw y,대체로 왜소한 일본인들 앞에 큰 장정 3명이 있으니 든든하네요,262,없음
18,いいあ,"이 영상만 보고 판단하지 말아줘, 인터뷰하고 일본땅이라고 주장하는 사람은 노인들뿐이야.  그리고 이렇게 입이 나쁜건 일부 사람이야, 나도 믿을 수 없어.  번역기를 사용했기 때문에 실수가 있을지도 모릅니다. 그럴 경우 죄송합니다.  저는 한국인도 문화도 좋아합니다. 싸우고 싶지 않습니다. 이 문제가 평화적으로 해결되기를 바랍니다.",144,없음
19,수렴렴 할때 계산산 하다 빡친 현우진,ㅋㅋㅋ 더 웃긴건 일본의 대부분의 역사학자들은 독도가 한국땅인걸 알고있다는 것 ㅋㅋㅋㅋㅋㅋㅋ 그저 왜곡 그 자체,1.6천,없음
20,아니 닉넴 뭘로 하지,13:49 아니 뭐하러 왔냐고 물어봤으면서 닥치래ㅋㅋㅋㅋ,508,없음
21,백지선,누가 그러더군요 독도 갈 때 일본인들은 여권을 가지고 가죠? 한국인들은 그냥 간답니다^^,3.9만,없음
22,필터링없는새끼,마동석님이랑 같이 갔으면 아무도 못깝쳤을듯,307,없음
23,제리,독도가 어디있는지도 잘 모르는분들이 왤케 당당한지..,648,없음
24,GO INTO ACTION,뱤 캬라퓰 뱅 많이 유명하죠 그냥 네이버 쳐보기만해도 바로나오니까 ㅎㅎ 먹튀 ㄹㅇ 없음...,101,없음
25,Irin,“진심으로 복싱을 배우고 싶었던날”,540,없음
26,Ak Tech Gaming,뱤 캬 라퓰뱅 그냥 네이버 쳐봐도 나와요?,711,없음
27,깡국다람쥐,제작진분들 다음엔 설민석씨랑 마동석씨 데리고 한 번 더 갑시다,1.1만,없음
28,유재경,0:35에 뭐하러왔냐면서 말해주려고 하니까 닥치라고하고 다시 질문 번복하는거 레전드네 진짜 능지 ㅋㅋㅋ,496,없음
29,누구세요,3:53 안밀리는거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ,485,없음
30,Meena Meena,뱤캬-라퓰-뱅 은 워낙 유명해서 앞전부터 핫했는데 ;; 지금 선착 10자리만 받아준더던데 ?,508,없음
31,로제 안사람,4:06 꺼지랬으면서 자기가 꺼지는거 왜이렇게 웃기지 아,327,없음
32,comedy mk,펀드니 주식이니 코인이니 다필요없는거같음 어렵기만하고 ㅠ 뱤/캬라/퓰/뱅/은 1도없음 진짜 너무 편하고 빠르고 ...ㄷㄷ,669,없음
33,멜판지,간단함. 한국사람들은 독도갈때 그냥 감. 근데? 일본사람들은 여권들고 감ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 풉,2천,없음
34,정옥선,여러분 독도는 신라 이사부장군이 찾아 안용복님이 지키신 우리의 역사가 담긴 우리나라 고유의 영토입니다.,532,없음
35,성우 이,3:10 김구라가 더 크니까 눈 못 마주치고 그냥 나가라고 하는거 개웃기네 개그맨이야?,258,없음
36,신혁수,일본인들에게 우리는 이런 사람이 아니라는 것을 보여줘야 겠네요,31,없음
37,서연,3:54 심지어 밀치기까지?! 꿈쩍도 안 함! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,335,없음
38,J A A T F F,나라에서는 해주는것도 없고 자영업자인데 해당도 안되는와중에 뱤@캬라@퓰@뱅 알고나서 아빠노릇합니다..ㅋ,267,없음
39,uiti 7858,저기를 김구라가 아니라 마동석을 데려갔어야지 어디함 보자 똑같이 떠드나,7.7천,없음
40,..,김구라 진짜 많이 참고 있는 게 눈에 보인다,408,없음
41,채아,와... 처음 본사람한테 저렇게 무례하게 대하고 일본 정부만 나쁜줄알았더니 ....시민 분들도 비슷하구나...,1.4천,없음
42,준 이,일본의 식민지였던 대한민국이 이제는 선진국으로 인정받고 이정도로 성장한 것 자체가 대단하다 일본과도 몇십년 차이 나던것이 이제는 10년정도 차이나고,793,없음
43,윤은서,12:22 와 솔직히 참는거에 한계가 온다 ㄹㅇ...,404,없음
44,부자 잼민이,김구라가 한짓 중 가장 잘한일,2,없음
45,지그미니,저 일본인들도 어떻게 보면 불쌍한거지 지들 정부가 대놓고 조작에 은폐에 거짓말하는 것도 모르고 세뇌당해서 저게 진실인줄알고 사는거잖아 이래서 나라를 이끄는 정치인들이 어떤 인간인지가 중요하지  아이들에게 부모의 가정교육이 아이들의 인생을 좌지우지할만큼 중요한것처럼 나라가 국민들에게 올바른 역사관을 인식시키는게 정말 중요하다는것을 일본을 보면서 느낀다,305,없음
46,DANONE TAP,당일날 바로 소액으로 뱤캬/라퓰/뱅 당일환젼 해주던데 뱤`캬`라`퓰`뱅 먹튀도 없고 돈도 벌고 지금 선착 20명만 받는데,434,없음
47,리버,"저거는 독도도 독도지만 무척 무례하다고 생각함. 한국인 일행분들은 정식으로 승인을 받고 취재를 하는 상황에서 뭣도 모르고 욕부터 박는 일본인들..그냥 자기가 보고 싶은대로 세상을 보는거 같음. 자신의 주장을 관철할 수는 있다지만, 거기에 근거가 없다면 그냥 쓰레기일뿐임.",1.3천,없음
48,검정이,3:58밀었는데 안밀리는거 래전드,31,없음
49,냥큐브,0:05 시작부터 원숭이가말을한다? 너무 재밌고,7,없음
50,남냥의 자유 체널,아니 자기꺼라고 우기는데 어디있는지 모르면 어떡햌ㅋㅋ,2,없음
51,건방진,근데 솔직히 자기 땅도 아닌 일본도 이런 행사를 지자체에서 진행하는데 우리도 국민들이 개인적으로 하는 행사나 이런거 말고도 더 많은 행사 했으면 좋겠다 ㅠㅠ,413,없음
52,김치:0,어디있는지도 모르면서 자기네 땅이라고 우기는게 신기해요 ㅎㅎ 제가 좀 어려서 뭘써야 할지 모르겠지만 일본인들이 경제적이득땜에 독도가 자기들에 영토라고 우기는게 참...,35,없음
53,Soo Ellen,DOKDO is KOREA's territory - NOT Japan's territory  - NO Dakeshima - NO MORE ILLOGICAL INSISTS,1.9천,없음
54,ym k,우리나라가 지금보다 더 강해져야하는 이유가 이 영상에 다 있네요. ㅜ 대한민국국민여러분 화이팅입니다,747,없음
55,히카리,9:11 여기 김구라 표정 개잼.. ㅋㅋㅋㅋㅋㅋㅋ 자막에 '지긋지긋'도 너무 웃기고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,603,없음
56,개램,0:05 진짜 지건 개마렵네,1,없음
57,조이지윤,"진심 블핑이나,방탄이 독도에서 뮤비같은거 찍으면 .....❤🤭",482,없음
58,Share investing,뱤@캬@라퓰@뱅 분석만 할 줄 알면 95프로로 돈먹을 수 있음,65,없음
59,Veroni,독도는 한국 땅입니다. 일본인들은 일본땅이라 하지만 일본인들은 정작 독도가 어디에 있는지 모릅니다! 대한민국 만세!,328,없음
60,만준,3:50 힘으로 못밀쳐서 당황하신 일본 꼰데쒸,253,없음
61,오주영,"난 적어도 평소에 일본정부는 미워해도 국민은 미워하지말자라는 신념을 가지고 있었는데 그 신념을 비웃기라도 하듯 일본 국민들의 가치관,태도부터가 문제네 우리가 독도가 우리땅이라는 걸 주장할때도 일본입장을 들어보려고 하는데 쟤네는 듣는거부터가 글러먹었어",3천,없음
62,홍길동,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 쟤들 개그단체 아니냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 웃겨서 눈물콧물 다흘리면서 봤네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,180,없음
63,TV Brothers,목숨을 바쳐독립운동을 해주신 사람들 모두 감사합니다,428,없음
64,밸룬,한국인이 참는게 더 대단함..,3,없음
65,ddong,7:52 여기 아저씨는 진짜 순순히 인정 하네 ㄷㄷ 이런 사람들은 진짜 욕 하지 말아야함,503,없음
66,Raglich,0:34 아니 뭐 하러 왔어 물어보고 여성분이 말하니까 닥치라 하고 또 뭐 하러 왔냐고 물어보네ㅋㅋㅋ 말을 하라는 거냐 말라는 거냐,2,없음
67,high 1 doh,"참 좋은 프로그램인데, 더 진보시켜서 일본 일반인들 말고 진짜 일본 전문가들 불러서  토론 좀 해보자. 우리도 전문가들 나가고. 팩트를 갖고 토론하면 될 것 같은데. 일본 방송국 찾아가서 토론해보자. 지금은 그냥 서로 일반인들 끼리 벽보고 이야기만 하는거잖아.",2.5천,없음
68,paper tiger,"인간이살면서 아는게없는데 욕심만많으면 어떻게 망해버리는지 정확하게 알려주는 그모습들, 이 시대를 살아가면서 참된 본보기가 되어주는 희생(?)과도 같은 찌질함에 경의를표합니다.",309,없음
69,흠냐뤼,3:57 꿈쩍도 안함! 개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,69,없음
70,Aloysius Leitao,경기가 힘들어지니까 재테크좀 해볼까하고 알아보는데 딱 뱤!캬!라`퓰`뱅 추천받아서 쳐보니까 어우..,405,없음
71,박경미,킬포는 3:50 ㅋㅋㅋㅋㅋ 무례하기가 저세상급인데 꿈쩍않는 묵직함 👏👏👏,486,없음
72,J.Daegeon.Hyounwoo,원래 아예 모르는 애들보다 하나만 아는 애들이 진짜 무서운 애들이라 했습니다.,1,없음
73,명란젓코난,독도는 한국땅   独岛是韩国领土,5.4천,없음
74,ᄋᄋ,0:57 이 분은 에도시대 때의 역사부터 라고 말씀하셨는데 우리나라는 신라 장군 이사부가 발견한 이래 신라의 땅으로 편입한다는 내용이 삼국사기에 있는데 ㅠㅠ큐큨ㅋㅋㅋㄹㅋ,214,없음
75,손우진,김구라가 가있으니까 뭔가 걱정이 안됨ㅋㅋ,140,없음
76,브릭 브라더스 tv,동석이형이 저런데 가서 한번 참교육하면 사이다가 따로 없음,0,없음
77,수,14:10 초 한번 움직였는데 다 쳐다보는거 소름임,165,없음
78,ㄷ,저기서 쌍욕 안 날린 게 대단한데 진짜,0,없음
79,김현수,진짜 역사가 곧 힘이다. 아는게 없으면 눈 뜨고 코 베이는거임 독도는 한반도 동해 바다에있으며 울릉도 바로 옆섬입니다.,421,없음
80,꿀떡아🍡,일본인들 앞에서 '그냥 갔다 붙였다. 유치하다' 라고해서 ㄹㅇ속시원 사이다  👍,367,없음
81,정우성,우리나라 사람들은 독도가 당연히 우리나라 땅이라 굳이 티 안 내는데 일본은ㅋ,735,없음
82,보리,12:37 발음 왤케 정확함?ㅋㅋㅋ,286,없음
83,덧니,진짜 몇몇분 말대로 김동현 강호동 서장훈 추성훈해서 다시한번 가죠 일본,71,없음
84,에르스트,안경잡이가 미는데 안밀리는거 갸웃기네,1,없음
85,준서_blink,설민석:지식으로 조진다 마동석:힘 으로 걍 조진다,361,없음
86,언어가대박이다,3:56 전혀 안밀리는게 개웃김,0,없음
87,pm Px,똥싸면서 보고있는 사람 좋아요,1.3천,없음
88,홍준성,김구라 선생님께서도정말 대단하시다.. 그 화를 다참으시고.. 그래도 떳떳히 취재 잘하셔서 존경스럽다..,174,없음
89,Kim Lionel,10:42 그러게 손가락질 김구라 주특긴데 ㅋㅋㅋ,198,없음
90,김진우,어디있는지도 모르는데 지네꺼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,없음
91,イヴ처돌이,11:40 고질라 실제 모델 +11:50,46,없음
92,박시현,4:00에 ㅋㅋㅋㅋㅋ밀치는데 안밀쳐지는거 ㄹㅇ 개웃김ㅋㅋ 그냥 진짜 막무가내로 우기는구나,0,없음
93,J UNE,한국 초딩들 한테 물어봐도 “울릉도 동남쪽 뱃길따라 200리 외로운 섬하나 새들의 고향”이라고  대답할 수 있습니다 ^^,2천,없음
94,mumu K,알고리즘에 많이 떴음 좋겠다 ㅋㅋㅋ 일본인들의 몰상식한 민낯.,31,없음
95,뚜까,"요즘들어 더욱 느끼는것이 일본과 중국 의식수준이 비슷하다는 것. 그동안 일본은 선진국이라는 이미지가 있어서 그랬지만 원전사고나 혐한운동, 과거사 인식에 대한 부분에서 적나라하게 저질스런 의식 수준을 드러냈다. 진짜 중국과 일본 둘다 막무가내로 우기고 빼앗으려는  국민성이 소름끼친다. 우리는 최대한 객관적인 자료를 확보하고 홍보하는데에 최선을 다해야할듯",154,없음
96,Yun,3:33 ???: 내가좋아하는더덕 니가 좋아하는 버벅,1,없음
97,돌대가리쉐ㅔㅔ끼,13:49 일본인들수준 왜왔냐고해서 말하는데 닥치라하고다시 물어보는 참된인상 ㄹㅇㅋㅋ,55,없음
98,검정,뭐하냐고 물어놓고 말하면 닥치라고 하네 ㅋㅋㅋㅋㅋㅋㅋㅋ 뭐하는거지 저게 ㅋㅋㅋㅋ,1,없음
99,싱싱한시리얼,저기 김구라말고 마동석 갔으면 아무도 시비 못걸었지ㅋㅋ,654,없음
100,최희수,"I am a student at Jeonju High School. Watching this video, I was disappointed with the behavior of Japanese people. Conflicts would not have arisen if they had lowered their voices and spoke slowly without being angry. It will also be very helpful in resolving conflicts that have not been resolved until now. However, I do not think it is appropriate for Japan to be angry and not listen to Korea at all. I think that they need the ability or courtesy to try to listen to the other person's opinion even a little and if there is a problem, explain it with appropriate grounds. Before I end the article, I would like to say something. Dokdo is recognized as Korean territory by the whole world except Japan, and some Japanese people also recognized it. I would like you to have doubts about claiming these objective facts on fabricated grounds, and please reflect on them. And through this, I hope that Japan will know the truth about the atrocities that it has done to Korea and apologize for it.",44,없음
101,ᄃᄄ,딱 그거네 형: 이거 내꺼야! 숙제할때 써야한다고! 동생: 아니야 이거 내꺼야! 형: 이게 뭔줄알고?,4.1천,없음
102,최정우,대한민국의 모든 잼민이 여러분들 이 영상을 보고 할수있는 모든 욕을 일본한테 해주세요.,169,없음
103,박으널따까리,과거의 언어까지 알려주고 역사도 주었것만 은혜를 원수로 값는 우리 일본이들💝,110,없음
104,노현우,아닠ㅋㅋ 닥치라는데 뭐하러 왔냐고 어떻게 답햌ㅋㅋㅋㅋ,0,없음
105,dsosw,그나마 저 빵 파시는 할아버지는 겸손하네,20,없음
106,ㅇㅇ,"누가 그랬는데 일본은 지능도 낮아서 국기도 빨간점밖에 못그린다고,,ㅋㅋㅋ",2,없음
107,강욱,여기 나오는 일본사람들 특: 증거없이 사람많다고 다굴까려고 애기가 어리광부리는 듯이 빽빽 우기는중ㅋㅋ,522,없음
108,장피에르,우리나라 학생들에게도 역사관을 가르쳐야합니다,73,없음
109,Ophelia,영상초반에는 열받다가 나중에는 너무 어이가 없어서 웃기네요 ㅋㅋㅋㅋㅋㅋ 계속 저렇게 무식하게 행동하면서 세계적으로 자신들의 민낯을 까발려주길 :) 해외자막도 달려서 많은 사람들이 영상을 보면 좋겠네요,166,없음
110,라미,존나 당당하게 말하는게 개킹받음..,0,없음
111,흐고렛,김구라 짜증표정 너무 웃겨 자막 지긋지긋도 ㅋㅋㅋㅋㅋㅋㅋ레알 국민들 마음 대변ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,50,없음
112,244임,3:55 저 비리비리한 체격으로 저런 사람을 밀치는게 되나....😅,0,없음
113,02 ahsi,어디에 있는지도 모르면서 일본땅이래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 독도는 우리 대한민국 땅이다.,542,없음
114,Corona,밀치긴 하는데 꿈쩍도 안하는거보고 개터졌네 ㅋㅋㅋㅋㅋ,61,없음
115,ᄒᄒᄒ,3:59 저기서 안밀리는거 개웃기네ㅋㅋ,2,없음
116,비스비,3:57 꿈적도 안하는거 개웃기네ㅋㅋ,0,없음
117,K P.,일본은 에도막부인 서기 1600년대부터 독도가 자기땅이라지만 우리는 서기 400년부터 독도가 한국땅이라는 증거가 넘처나서 책한권에도 다 못적을정도로  증거가 많습니다.또 일본정부도 과거 독도와 울릉도가 조선땅(한국땅)이란걸 명백하게 인정했습니다.,40,없음
118,크크루삥뽕,가래가래 거리는거진짜로 개웃기네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
119,생수코믹ت,독도가 우리땅이라는 증거 1. 우리나라 경찰이 지키고 있다 2. 일본 사람들은 여권을 챙기고 독도를 가야하는데 한국인들은 그냥 간다,1.5천,없음
120,Teel Light,오늘도 우리나라의 고유 영토인 독도를 지켜주시는 방위대 여러분들 항상 감사합니다.,48,없음
121,김지환,일본 사람이 예의가 바르다는 것은 일본이 이미지 관리 차원에서 구라 친거 였네요 정말 일본은 다 문제네요 소수의 사람 빼구요,4.1천,없음
122,YUNCHAN CHO,ㅋㅋㅋ 어디있는지도모르면서 자기땅이라우기는 일본의속 너무 재밌고,227,없음
123,김민성,저런 자신감과 용기는 어디서 나온걸까...?,50,없음
124,딸기마시멜로우 작가,지들 땅 이라면서 어디인지도 모르는거 킹받내,1,없음
125,merten kim,독도에도 해병대 나 특전사 같은  특수 부대가 주둔을 해서 더욱 강력하게 독도를 ,35,없음
126,민악대,우리가 독도를 넘겨주고 도쿄를 가져오자(?)  아닠ㅋㅋㅋ 독도에 쌀이 안나는데 먼 쌀이얔ㅋㅋㅋㅋ,1,없음
127,Eifel Lee,한국인들은 여권이 없어도 독도에 갈 수 있지만 일본인들은 여권이 필수적이다. ㅎㅎ 뭐다? 독도는 한국 영토에 소속됐다.,684,없음
128,정민,아직도 알고리즘에 꾸준히 뜬다니. 좋다.,87,없음
129,한국봇 Korean bot Корея бот,9:34 내가 저기있고 싸인펜 그런거 있으면 바로 태극기로 만들었음,81,없음
130,Lol Kkkk,저기 마동석있었으면 사이다였닼,1,없음
131,dhcjwjwif,공인이고 취재허가받고 간 공식적인 자리에서 싸움할리가 없죠 우리쪽이 덩치도 훨씬 큰데도 불구하고 눈 안 부라리면서 밀친다고 손 쳐내지 않고 그렇다고 밀리지도 않고 참은 취재진들에게 박수 👏 👏 👏,34,없음
132,박제TV,화내던 사람들한테도 물어봐야하는데 독도가 어딨냐고ㅋㅋㅋㅋ,1,없음
133,믕,일본이 주장하는 내용  대한민국:1+1=2입니다  왜냐하면 수학적..,858,없음
134,멜로얄루알로요호호히,이런 유튜브 는 계속 주기적으로 올라와야함,49,없음
135,얼라이언스,관상은 진짜 과학이라는게 군대가서도 느끼고 여기서도 느낀다,36,없음
136,잼민이를 위한 채널,???:금쪽아 왜 거기있니?,0,없음
137,장홍석,이거 끝까지 본사람들은 인내심이 레전드다...,30,없음
138,閻魔大王,탐욕이 뽑은 무식이  내일을 망치는 본국 보은인사,1,없음
139,X xx,설민석씨랑 마동석씨랑 다시 가서 이론적 설명은 설민석씨가 하고 물리적 설명은 마동석씨가 합시다.,3.8천,없음
140,머저리보면 짖는 개,4:00 아닠ㅋㅋㅋㅋ 안 밀리니깐 끄응하면서 다시 가는거 겁나 웃김 ㅋㅋㅋㅋ,10,없음
141,혜랑,동석이형이 갔으면 그 손가락 그 말투 살아남지도 못했어 ''진실의 방으로'',2.2천,없음
142,김보민,3:54 안밀리는게 킬포 ㅋㅋㅋ,2,없음
143,컴전용게정,3:50  한국인 : 단단해지기!,67,없음
144,조조수현,컨텐츠 자체자막달아서 해외에 제발 보여주세요!,6,없음
145,뺭쟈니,아니 일본 국기 들고 올때 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 어이없어서 웃음밖에 안 나옴,12,없음
146,수비니,자료관까지 있다니 대단하다 대단해…,0,없음
147,박설아,다음에는 마동석이랑 설민석 데려갑시다,3.2천,없음
148,독도는 우리땅🇰🇷,ㄹㅇ 찐으로 김구라씨가 못알아들어서 다행이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 썸네일 보고 달려왔습니닷 ㅋㅋㅋㅋㅋㅋ 독도 사랑♡,11,없음
149,Kevin Hwang,진짜 빈수레가 요란하다는게 딱 여기서 쓰는 속담이네,73,없음
150,Why,일단 우기고 보는거 킹받네,0,없음
151,ᄋ,ㄹㅇ 피가 거꾸로 솟네 ㅋㅋㅋ,11,없음
152,CHJH☆,5:55 독도가 돌섬이라 쌀농사가 안되는줄도 모르고 자기땅이라고 주장하는 일본,1,없음
153,펭가이드,아니 독도를 떠나서 인간대 인간으로 저따구로 대하는건 거의 1개월된 신생아가 예절가르친급인데?,661,없음
154,권순용,김구라가 화내지 않고 버틴게 신기하다,8,없음
155,Pathfinder,뭔가 귀여워 ㅋㅋㅋ 어른들이 생떼쓰는 애들같아.,12,없음
156,MS GAMING (M),아 뱤캬 라 퓰뱅 들어봤어요 초보자들도 쉽게 접목할수 있다던데 홀짝이랑 비슷한데 먹튀도 없다구,41,없음
157,모랭 부계,아니 김구라님은 일본어 몰라서 욕해도 화 안내심 ㅋㅋㅋㅋ,8,없음
158,박상규,"3:33 어우 깜짝이야! 얼굴 땜에 깜짝 놀랐어욬ㅋㅋㅋㅋㅋ 그러면서 독도 아니야 이러고 있는 일본의 세뇌식 교육이 에휴,,,,,😤",0,없음
159,박민수,일본인: 우끼 우끼끼끼끼 우끼끼끼 한국인: 뭐라는 거야?,1.4천,없음
160,chunsa82,왜 영어로 번역이 되지 않나요?  일본의 진실된 모습을 온 세상에 보여 주어야 합니다!! Please make this video (and all) English translation available!!!,23,없음
161,김건호,일본인들 옆에 사람들 없으면 혼자 저런짓 못함ㅋㅋㅋㅋㅋㅋㅋ 단체주의가 심해서 혼자서는 우물쭈물하고 있음,794,없음
162,ᄒᄒ,11:35 진짜 아무 이유 없이 급발진하네,8,없음
163,이상민,어 너무 꿀잼 잼민이가 귀 막고 아아아 하는 거임ㅋㅋ,30,없음
