,댓글
1,"이 영상은 수정,보완을 거쳐 다시 업로드한 영상입니다. 수정 사항을 지적해 주신 분들께 감사드립니다."
2,그땐 그럴수밖에 없었다고 쳐도 증손자한테 어떻게 땅을 줘도된다는 판결이 나왔을까참 판사놈도 한심하다.
3,머리만 좋고 신념이 바르지 못한 수재의 전형이네요. 현재 우리사회 곳곳에도 그 때와 같은 상황이 온다면 제 2의 이완용으로 돌변할 수 있는 사람들이 많이 있습니다. 중요한 건 그런 비극적인 상황이 나타니지 않게 국력을 키우는 것이 중요하겠죠.
4,이완용을 보면 시대를 앞서 간 사람이 선견지명과 지혜를 개인의 영달만을 위해 썼을때 얼마나 무서운 결과를 초래하는지를 느끼게됨
5,근데 진짜 욕을 먹어야 되는게 민비  고종인데  무슨 나는 이나라의 국모다  하며  드라마나 뮤지컬에서 미화시키거에  국민들 현혹됨
6,"이번주 금요일은 3월 1일입니다! 독립을 외치던 사람이 한순간에 친일파가 되고, 조국을 팔아 넘겼어도 꿋꿋히 일본에 저항하며 독립을 위해 힘써주신 모든 독립운동가 분들께 감사한 마음을 가집시다! 힘이 없던 조국을 부축했던건 자유를 위해 목숨을 걸고 싸우셨던 그 분들입니다. 대한 독립 만세🇰🇷"
7,시대를 잘만나 매국노지 혼자 잘먹고 잘산거까진 어쩔수없다만 후손들까지재판 승소해서 잘살도록도와준 판결한 인간슈레기도 자손도 다똑같은데  천벌을받아라
8,진짜 이런정보를 교과서에 쳐 집어넣어라 교육부야;;
9,"""이제는 미국이 득세할 듯 하니 미국편에 서라."" 아주 유명한 말이죠 '아시아 최고의 모기' 사회 엘리트층이 부패하고 이기적이면 발생하는 문제를 보여주는 최고의 예시"
10,나도 저때 관리였다면 편한 개새끼가 될려했을까 힘들고 인정해주지 않는 독립운동가가 됬을까 장담못하겠다...
11,영상 중간에 이완용의 저택이라고 나오는 건물은 이완용저택이 아닙니다. 2003년에 지어진 신축건물이고 이완용과는 어떠한 연관도 없는 건물입니다. MBC라는 유명한 방송사가 사진의 진위파악조차 하지 않고 뉴스를 만들다니 한심하네요.
12,"근데 정말 일제강점기때 친일파가 많았던 이유 중 미래가 보이지 않는 막막함도 있었을거에요 그렇다고 정당화되는건 절대 아니고 그런 열악하고 막막한 상황 속에서도 한국을 지키기 위해 싸워주시고 희생하신 모든 독립투사,독립운동가,독립군들에게 감사하고 감사합니다."
13,왜 근데 최고책임자인 고종의 책임은 묻지않는가? 사실 그가 더 큰 잘못을한것인데 역사교과서는 이부분을 철저히 빼버림...
14,정세를 보는 눈은 뛰어났으나 그 선택에 대한 비난은 피하기 어렵겠지
15,역사를 교훈 삼아 다시는 반복 되지 않길 바라며 힘을 키워야 합니다
16,"한짓이 잘했다고는 절대 못말하지, 근데 세상 돌아가는거 보는 안목은 당대 최고였을거야 ㅋㅋㅋ"
17,히틀러도 반려견한테는 잘해줬다는대 ...놀랍지도 않다...
18,진짜 너무 소름돋고 화가 나서 몸이 떨리네요...
19,이분 아들한테 미국이 대성할거같으니 너는 친미해라 라고 했다는데 선견지명은 ㅆ오지는 사람이긴함
20,지옥에서 영원히 고통받기를..
21,나라를 팔아먹어서 호가호위했을지 몰라도 역사속에서 영원히 고통받을거다
22,재주가 아무리 뛰어나도 사욕에 눈이 멀면 이완용처럼 되는건 한순간 ㅠㅠ
23,히틀러도 평소에는 그냥 강아지를 좋아하는 동네 아저씨였다고 하고 도조 히데키도 사적으로는 운전기사에게 반존대를 해주고 가끔 운동회 열어서 동네 아이들한테 과자 나눠주는 낙으로 사는 친절한 빡빡이였다고 합니다.
24,역사는 승자의 기록입니다 우리에게 해방이 없었다면 이 작자는 영웅으로 기록됬겠죠
25,타고난 재능과 시대 흐름을 읽는 안목이 역대급 수준인 인재가 그 능력으로 사익을 추구하고자 할 때 어디까지 할 수 있는지 보여준 인물...
26,"좌파든 우파든 상관없이 비난받아야 마땅할 존재이다 나라를 팔아먹었다라는 사실은 자명하며, 이는 어떤 변명을 하더라도 해결될 수 없는 문제이다"
27,"나라를 지키려 독립운동하신분들이 친일파의 자식은 끝까지 잘살고, 정작 자신의 자식들은 가난하게 사는 그런나라 되찾기 위해 싸우신걸까"
